Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K,density_kg_m3,mass_flow_kg_s
372,3732000,305300000,32590000.0,812500.0,3640.0,9.796e-15,44160,4537000,1099.58,1098.34,9.796e-12,1.5387520817282808e-10
373,3718000,300600000,31730000.0,788000.0,3503.0,9.63e-15,44120,4474000,1099.58,1098.37,9.63e-12,1.5126768627034853e-10
374,3703000,296100000,30890000.0,764300.0,3372.0,9.467e-15,44070,4412000,1099.58,1098.4,9.467e-12,1.487072882576729e-10
375,3689000,291600000,30080000.0,741300.0,3245.0,9.307e-15,44030,4351000,1099.58,1098.43,9.307000000000001e-12,1.4619401413480107e-10
376,3675000,287100000,29280000.0,719000.0,3124.0,9.15e-15,43990,4291000,1099.58,1098.46,9.15e-12,1.4372786390173305e-10
377,3661000,282800000,28510000.0,697300.0,3006.0,8.995e-15,43950,4232000,1099.58,1098.48,8.995e-12,1.4129312959520096e-10
378,3647000,278500000,27760000.0,676400.0,2894.0,8.844e-15,43900,4174000,1099.58,1098.51,8.843999999999999e-12,1.3892122714174067e-10
379,3633000,274300000,27020000.0,656000.0,2786.0,8.695e-15,43860,4117000,1099.58,1098.53,8.694999999999999e-12,1.3658074061481626e-10
380,3619000,270100000,26310000.0,636300.0,2681.0,8.549e-15,43820,4060000,1099.58,1098.56,8.549e-12,1.342873779776957e-10
381,3605000,266000000,25620000.0,617200.0,2581.0,8.406e-15,43780,4005000,1099.58,1098.58,8.406e-12,1.32041139230379e-10
382,3592000,262000000,24940000.0,598600.0,2484.0,8.265e-15,43730,3950000,1099.58,1098.61,8.265e-12,1.298263164095982e-10
383,3578000,258000000,24290000.0,580600.0,2391.0,8.127e-15,43690,3896000,1099.58,1098.63,8.127e-12,1.2765861747862125e-10
384,3564000,254100000,23650000.0,563200.0,2302.0,7.992e-15,43650,3842000,1099.58,1098.65,7.992e-12,1.2553804243744817e-10
385,3551000,250300000,23030000.0,546300.0,2216.0,7.858e-15,43610,3790000,1099.58,1098.68,7.858e-12,1.2343317535954298e-10
386,3537000,246500000,22420000.0,529900.0,2133.0,7.728e-15,43570,3738000,1099.58,1098.7,7.728e-12,1.213911401347096e-10
387,3524000,242800000,21830000.0,514000.0,2054.0,7.599e-15,43520,3687000,1099.58,1098.72,7.599000000000001e-12,1.1936481287314422e-10
388,3510000,239100000,21260000.0,498600.0,1977.0,7.473e-15,43480,3637000,1099.58,1098.74,7.473e-12,1.1738560950138264e-10
389,3497000,235500000,20700000.0,483700.0,1903.0,7.349e-15,43440,3587000,1099.58,1098.76,7.349e-12,1.1543782205615696e-10
390,3484000,231900000,20150000.0,469200.0,1832.0,7.227e-15,43400,3538000,1099.58,1098.78,7.227e-12,1.1352145053746718e-10
391,3470000,228400000,19620000.0,455100.0,1764.0,7.108e-15,43360,3490000,1099.58,1098.8,7.107999999999999e-12,1.1165220290858125e-10
392,3457000,225000000,19110000.0,441500.0,1698.0,6.99e-15,43320,3442000,1099.58,1098.82,6.990000000000001e-12,1.097986632429633e-10
393,3444000,221600000,18610000.0,428300.0,1635.0,6.875e-15,43270,3396000,1099.58,1098.83,6.875e-12,1.0799224746714914e-10
394,3431000,218200000,18120000.0,415500.0,1574.0,6.762e-15,43230,3350000,1099.58,1098.85,6.762e-12,1.0621724761787091e-10
395,3418000,215000000,17640000.0,403000.0,1515.0,6.65e-15,43190,3304000,1099.58,1098.87,6.65e-12,1.0445795573186063e-10
396,3405000,211700000,17180000.0,391000.0,1459.0,6.541e-15,43150,3259000,1099.58,1098.89,6.5410000000000005e-12,1.027457877356542e-10
397,3392000,208500000,16730000.0,379300.0,1404.0,6.434e-15,43110,3215000,1099.58,1098.9,6.434e-12,1.0106503566598365e-10
398,3379000,205400000,16290000.0,367900.0,1352.0,6.328e-15,43070,3172000,1099.58,1098.92,6.3280000000000005e-12,9.939999155958107e-11
399,3366000,202300000,15870000.0,357000.0,1302.0,6.225e-15,43030,3129000,1099.58,1098.94,6.225e-12,9.778207134298231e-11
400,3354000,199200000,15450000.0,346300.0,1253.0,6.123e-15,42990,3086000,1099.58,1098.95,6.1230000000000005e-12,9.617985908965153e-11
