Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K
136,15420000,32030000000,73750000000,5348000000,193500000,4.576e-12,637100,6184000,1099.58,624.03
137,15010000,30560000000,68790000000,4924000000,176100000,4.282e-12,593600,6664000,1099.58,636.3
138,14630000,29190000000,64280000000,4546000000,160600000,4.015e-12,553800,7171000,1099.58,648.24
139,14290000,27910000000,60170000000,4208000000,146800000,3.772e-12,517400,7705000,1099.58,659.88
140,13980000,26720000000,56420000000,3903000000,134400000,3.548e-12,484000,8268000,1099.58,671.21
141,13690000,25610000000,52980000000,3628000000,123400000,3.344e-12,453400,8858000,1099.58,682.24
142,13430000,24570000000,49820000000,3379000000,113400000,3.155e-12,425300,9475000,1099.58,692.99
143,13180000,23590000000,46910000000,3152000000,104400000,2.982e-12,399400,10120000,1099.58,703.46
144,12960000,22680000000,44230000000,2946000000,96310000,2.821e-12,375700,10790000,1099.58,713.65
145,12740000,21820000000,41750000000,2758000000,88970000,2.673e-12,353800,11490000,1099.58,723.58
146,12540000,21010000000,39450000000,2586000000,82310000,2.535e-12,333600,12210000,1099.58,733.25
147,12350000,20240000000,37330000000,2428000000,76260000,2.407e-12,315000,12960000,1099.58,742.67
148,12170000,19520000000,35350000000,2282000000,70740000,2.288e-12,297800,13730000,1099.58,751.85
149,12000000,18840000000,33510000000,2148000000,65710000,2.177e-12,281900,14520000,1099.58,760.78
150,11840000,18190000000,31800000000,2024000000,61120000,2.073e-12,267300,15330000,1099.58,769.49
151,11680000,17580000000,30200000000,1910000000,56910000,1.976e-12,253700,16160000,1099.58,777.97
152,11540000,17000000000,28710000000,1803000000,53050000,1.886e-12,241100,17000000,1099.58,786.22
153,11390000,16450000000,27310000000,1704000000,49500000,1.8e-12,229500,17870000,1099.58,794.27
154,11260000,15920000000,26000000000,1613000000,46240000,1.721e-12,218600,18740000,1099.58,802.1
155,11130000,15430000000,24770000000,1527000000,43240000,1.645e-12,208600,19630000,1099.58,809.73
156,11000000,14950000000,23610000000,1447000000,40470000,1.575e-12,199300,20530000,1099.58,817.16
157,10880000,14500000000,22530000000,1373000000,37910000,1.508e-12,190600,21430000,1099.58,824.4
158,10760000,14070000000,21510000000,1303000000,35550000,1.445e-12,182500,22340000,1099.58,831.46
159,10650000,13650000000,20540000000,1238000000,33360000,1.386e-12,175000,23250000,1099.58,838.33
160,10540000,13260000000,19640000000,1176000000,31330000,1.33e-12,167900,24170000,1099.58,845.02
161,10440000,12880000000,18770000000,1119000000,29450000,1.277e-12,161400,25080000,1099.58,851.54
162,10330000,12520000000,17960000000,1065000000,27700000,1.226e-12,155300,25990000,1099.58,857.89
163,10230000,12170000000,17200000000,1014000000,26070000,1.179e-12,149500,26890000,1099.58,864.07
164,10140000,11840000000,16470000000,966200000,24550000,1.134e-12,144200,27780000,1099.58,870.09
165,10040000,11520000000,15790000000,921100000,23140000,1.091e-12,139200,28670000,1099.58,875.96
166,9952000,11210000000,15140000000,878600000,21820000,1.05e-12,134500,29540000,1099.58,881.68
167,9863000,10920000000,14520000000,838400000,20590000,1.011e-12,130100,30400000,1099.58,887.25
168,9777000,10640000000,13930000000,800500000,19450000,9.746e-13,126000,31240000,1099.58,892.67
169,9693000,10360000000,13370000000,764600000,18370000,9.395e-13,122100,32070000,1099.58,897.96
170,9611000,10100000000,12840000000,730700000,17370000,9.061e-13,118500,32870000,1099.58,903.11
171,9531000,9848000000,12340000000,698600000,16420000,8.742e-13,115000,33660000,1099.58,908.12
172,9453000,9604000000,11860000000,668100000,15540000,8.438e-13,111800,34420000,1099.58,913.01
173,9377000,9369000000,11400000000,639200000,14710000,8.147e-13,108800,35150000,1099.58,917.77
